cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$116k,"$141,669",3 Ton 520 Kg,Sep 23 1998,"Q,H",super advanced,M14163,"IN732505,IN732457,IN732569,IN732368,IN732570,IN732497",2.19 meters,117 cm,31 cm
$66k,"$24,751",2 Ton 830 Kg,Jul 17 2009,D,advanced,M14237,"IN732099,IN732571,IN732513,IN732572,IN732282,IN732520",2.5 meters,98 cm,26 cm
$47k,"$53,920",2 Ton 900 Kg,Feb 16 2007,N,advanced,M14238,"IN732573,IN732370",2.48 meters,99 cm,26 cm
$81k,"$86,192",2 Ton 980 Kg,Oct 08 1998,"N,D",super advanced,,IN732574,2.93 meters,93 cm,24 cm
$26k,"$42,224",2 Ton 950 Kg,Jul 23 2010,"Q,H",advanced,M14239,"IN732575,IN732576,IN732390,IN732577,IN732578,IN732384,IN732408,IN732579",2.61 meters,98 cm,26 cm
,"$60,973",2 Ton 960 Kg,Mar 31 2000,"Q,D",advanced,M14240,"IN732580,IN732581",2.03 meters,111 cm,29 cm
$97k,"$29,693",3 Ton 0 Kg,Jun 23 2006,H,advanced,M14241,"IN732383,IN732505,IN732582,IN732263",3.01 meters,92 cm,24 cm
,"$209,705",2 Ton 890 Kg,Jan 23 1998,N,advanced,,"IN732126,IN732582,IN732282,IN732583",2.8 meters,93 cm,25 cm
$66k,"$104,000",2 Ton 930 Kg,Jun 10 2005,N,advanced,,,2.33 meters,103 cm,27 cm
$191k,"$103,660",3 Ton 0 Kg,Sep 19 2003,"F,D",super advanced,M14242,"IN732097,IN732563,IN732584,IN732585",2.86 meters,94 cm,25 cm
$254k,"$338,509",3 Ton 30 Kg,Dec 17 1999,"F,D",super advanced,M14242,"IN732563,IN732097,IN732584",3.11 meters,91 cm,24 cm
,"$186,207",2 Ton 940 Kg,Aug 28 1998,C,basic,M14243,"IN732428,IN732093,IN732099,IN732586,IN732565,IN732587",2.63 meters,97 cm,26 cm
,"$9,581",3 Ton 430 Kg,Dec 12 2014,D,super advanced,,,2.4 meters,110 cm,29 cm
$160k,"$395,946",3 Ton 190 Kg,Oct 01 2014,D,advanced,M14244,"IN732338,IN732107,IN732459,IN732296,IN732588,IN732435,IN732517,IN732137,IN732203",2.52 meters,104 cm,27 cm
$84k,"$270,659",2 Ton 910 Kg,Apr 22 2005,D,advanced,M14244,"IN732338,IN732517,IN732107,IN732459,IN732589,IN732590,IN732196,IN732591,IN732503,IN732213",2.75 meters,95 cm,25 cm
,"$50,347",2 Ton 940 Kg,May 08 2015,"D,H",advanced,M14210,"IN732349,IN732592",2.67 meters,97 cm,25 cm
$169k,"$78,664",3 Ton 20 Kg,Mar 01 2002,R,super advanced,,"IN732582,IN732593,IN732594,IN732595",2.52 meters,101 cm,26 cm
$160k,"$43,691",3 Ton 450 Kg,Oct 07 2000,"Q,H",super advanced,,,2.44 meters,110 cm,29 cm
$474k,"$421,731",3 Ton 400 Kg,Feb 26 2010,U,advanced,M14164,"IN732596,IN732304,IN732570,IN732597",2.69 meters,103 cm,27 cm
$238k,"$428,862",3 Ton 10 Kg,Jan 23 2004,D,advanced,M14156,"IN732217,IN732399,IN732463,IN732598,IN732561,IN732112,IN732599",2.44 meters,102 cm,27 cm
$292k,"$126,068",3 Ton 480 Kg,Sep 29 2000,"Q,H",advanced,M14245,IN732600,3.0 meters,99 cm,26 cm
$23k,"$267,472",2 Ton 950 Kg,Jul 17 2015,N,super advanced,M14246,IN732081,2.53 meters,99 cm,26 cm
,"$56,527",3 Ton 80 Kg,Nov 10 2006,"H,A",advanced,M14247,"IN732067,IN732152,IN732601",2.21 meters,109 cm,28 cm
$207k,"$272,616",3 Ton 180 Kg,Oct 02 2015,"P,P",intermediate,M14248,"IN732466,IN732602,IN732145,IN732603,IN732305",2.78 meters,98 cm,26 cm
$411k,"$568,840",3 Ton 170 Kg,Apr 29 2016,"B,A",advanced,M14249,"IN732604,IN732605,IN732239,IN732107,IN732349,IN732606,IN732607,IN732608,IN732603,IN732188,IN732258",2.51 meters,104 cm,27 cm
,"$38,307",3 Ton 80 Kg,Oct 26 2001,U,advanced,,"IN732221,IN732609,IN732610,IN732590",3.31 meters,89 cm,23 cm
$42k,"$68,937",3 Ton 200 Kg,Oct 02 2003,H,advanced,M14250,"IN732158,IN732611,IN732612",2.69 meters,100 cm,26 cm
$333k,"$287,843",2 Ton 840 Kg,Jul 16 1999,C,intermediate,"M14251,M14252","IN732613,IN732614,IN732115,IN732582,IN732615,IN732510,IN732566",1.97 meters,111 cm,29 cm
$176k,"$240,005",3 Ton 570 Kg,Oct 04 2000,"T,H",super advanced,M14211,"IN732616,IN732466,IN732228,IN732305,IN732528",2.92 meters,102 cm,27 cm
$59k,"$12,810",3 Ton 80 Kg,Jul 02 2004,"D,R",super advanced,M14253,"IN732613,IN732111,IN732617",2.45 meters,103 cm,27 cm
$75k,"$61,373",3 Ton 140 Kg,Aug 25 2000,H,advanced,,"IN732464,IN732618,IN732361",2.82 meters,97 cm,25 cm
$128k,"$162,521",3 Ton 380 Kg,Sep 21 2007,"Q,B",super advanced,M14254,,2.39 meters,109 cm,29 cm
$18k,"$58,286",2 Ton 860 Kg,Jun 15 2012,"S,U",advanced,,,2.47 meters,99 cm,26 cm
$66k,"$66,214",3 Ton 80 Kg,Jul 03 2009,W,super advanced,M14255,"IN732140,IN732619,IN732620,IN732260,IN732481",2.84 meters,96 cm,25 cm
,"$30,563",3 Ton 120 Kg,Aug 06 1999,U,super advanced,M14256,"IN732621,IN732622,IN732623",2.47 meters,104 cm,27 cm
$5k,"$20,061",2 Ton 870 Kg,Jan 25 2008,C,super advanced,,IN732429,2.48 meters,99 cm,26 cm
$40k,"$61,144",3 Ton 90 Kg,Dec 15 2006,"J,D",intermediate,,IN732568,2.68 meters,99 cm,26 cm
,"$158,738",2 Ton 920 Kg,Jan 16 2008,"J,D",intermediate,M14257,"IN732126,IN732465,IN732206",2.15 meters,107 cm,28 cm
$103k,"$262,448",2 Ton 940 Kg,Nov 04 2005,"J,D",intermediate,,"IN732126,IN732465,IN732358",3.09 meters,90 cm,24 cm
$143k,"$430,055",3 Ton 200 Kg,Jul 26 2013,"U,H",super advanced,M14258,"IN732108,IN732624,IN732625,IN732062,IN732626,IN732627",2.74 meters,100 cm,26 cm
$100k,"$80,492",3 Ton 190 Kg,Apr 21 2000,U,super advanced,M14259,"IN732628,IN732590",2.62 meters,102 cm,27 cm
$443k,"$635,995",3 Ton 440 Kg,Apr 14 1999,"S,A",advanced,M14128,"IN732074,IN732108,IN732629,IN732630,IN732631,IN732632,IN732339,IN732633,IN732134,IN732583",2.85 meters,101 cm,27 cm
$66k,"$52,949",2 Ton 880 Kg,Sep 17 2010,U,advanced,M14260,"IN732634,IN732119,IN732450,IN732635",2.09 meters,108 cm,28 cm
$348k,"$78,142",3 Ton 200 Kg,Mar 30 2005,"J,B",intermediate,M14261,"IN732636,IN732637,IN732638,IN732639,IN732640,IN732280,IN732641,IN732583,IN732196,IN732219",3.23 meters,92 cm,24 cm
$150k,"$318,593",3 Ton 160 Kg,Aug 25 2017,S,advanced,M14262,"IN732535,IN732146,IN732642,IN732643",2.32 meters,107 cm,28 cm
,"$13,077",3 Ton 20 Kg,Feb 16 2007,D,super advanced,,"IN732644,IN732645,IN732640,IN732646,IN732647,IN732187,IN732216,IN732648,IN732632",2.35 meters,104 cm,27 cm
$128k,"$106,502",3 Ton 100 Kg,Jan 20 2012,D,advanced,M14263,"IN732649,IN732650,IN732086,IN732382,IN732651,IN732598",2.87 meters,96 cm,25 cm
,"$148,684",2 Ton 970 Kg,Sep 05 2012,C,intermediate,M14264,"IN732652,IN732058,IN732640,IN732401,IN732653,IN732085",2.84 meters,94 cm,25 cm
$273k,"$50,259",3 Ton 30 Kg,Oct 12 2007,C,intermediate,M14265,"IN732654,IN732293",3.25 meters,89 cm,23 cm
,"$69,700",2 Ton 930 Kg,Jun 12 2015,U,super advanced,M14266,,2.38 meters,102 cm,27 cm
$160k,"$469,176",3 Ton 390 Kg,Oct 06 1998,"D,R",advanced,M14267,"IN732399,IN732655,IN732656,IN732657,IN732658",2.28 meters,112 cm,29 cm
$395k,"$174,400",3 Ton 400 Kg,Oct 04 2017,A,advanced,M14268,"IN732077,IN732289,IN732620,IN732659,IN732143,IN732084",2.48 meters,108 cm,28 cm
$97k,"$65,679",3 Ton 90 Kg,Nov 02 2005,"U,A",super advanced,,"IN732660,IN732119,IN732661,IN732299,IN732559,IN732662",2.89 meters,95 cm,25 cm
$207k,"$64,140",2 Ton 940 Kg,Aug 06 2010,C,intermediate,M14269,"IN732293,IN732231,IN732663",2.32 meters,104 cm,27 cm
$191k,"$72,980",3 Ton 240 Kg,Oct 29 1999,R,advanced,M14270,IN732454,2.64 meters,102 cm,27 cm
$380k,"$266,789",2 Ton 950 Kg,Mar 22 2002,C,intermediate,,"IN732664,IN732665",3.33 meters,87 cm,23 cm
,"$13,199",3 Ton 120 Kg,Jul 26 2013,H,advanced,,,3.11 meters,92 cm,24 cm
,"$162,710",3 Ton 230 Kg,Sep 19 2008,"Q,H",super advanced,M14271,"IN732666,IN732652,IN732667,IN732522,IN732668,IN732669,IN732670,IN732078",2.73 meters,100 cm,26 cm
,"$121,278",3 Ton 300 Kg,Oct 10 2014,"D,H",super advanced,M14272,"IN732257,IN732562,IN732304,IN732367,IN732671,IN732672,IN732673,IN732674,IN732078",2.87 meters,99 cm,26 cm
,"$102,194",3 Ton 140 Kg,Sep 03 2008,"K,H",intermediate,,"IN732293,IN732675,IN732458,IN732254,IN732595",2.41 meters,105 cm,28 cm
$55k,"$172,000",3 Ton 0 Kg,Feb 13 1998,D,advanced,M14273,"IN732676,IN732224,IN732567,IN732338,IN732677",2.73 meters,96 cm,25 cm
$106k,"$650,012",2 Ton 950 Kg,Mar 24 2000,D,advanced,M14273,"IN732224,IN732678,IN732679,IN732567,IN732338,IN732590,IN732273",2.62 meters,98 cm,26 cm
$201k,"$672,845",2 Ton 940 Kg,May 09 2003,D,advanced,M14273,"IN732224,IN732680,IN732567,IN732681,IN732679,IN732682,IN732117,IN732683,IN732617",2.66 meters,97 cm,25 cm
$411k,"$158,397",3 Ton 650 Kg,Sep 09 2009,"Q,B",advanced,M14274,"IN732684,IN732685,IN732175,IN732686,IN732687",2.75 meters,106 cm,28 cm
$207k,"$121,351",3 Ton 40 Kg,May 25 2001,R,advanced,,"IN732526,IN732477",2.35 meters,105 cm,27 cm
,"$2,358,178",3 Ton 600 Kg,Oct 01 2010,"S,B",advanced,M14275,"IN732688,IN732689,IN732393,IN732690,IN732328,IN732647",3.01 meters,101 cm,26 cm
,"$36,464",3 Ton 600 Kg,Jun 10 2011,"S,B",advanced,,,2.76 meters,105 cm,28 cm
$788k,"$1,444,728",3 Ton 410 Kg,Feb 12 2016,"B,A",advanced,M14276,"IN732691,IN732658,IN732346,IN732087,IN732604,IN732692,IN732146,IN732442,IN732693,IN732694,IN732261,IN732695,IN732239,IN732696,IN732149,IN732570,IN732697,IN732094,IN732531,IN732085",2.93 meters,99 cm,26 cm
$30k,"$47,886",2 Ton 840 Kg,Sep 12 2008,U,super advanced,,"IN732240,IN732698,IN732699,IN732595",2.37 meters,101 cm,26 cm
,"$25,485",2 Ton 900 Kg,Jan 09 1998,D,advanced,,"IN732700,IN732701",2.54 meters,98 cm,26 cm
,"$24,795",3 Ton 100 Kg,May 14 1999,"T,D",super advanced,M14237,,2.59 meters,101 cm,26 cm
,"$34,166",3 Ton 100 Kg,May 16 2008,D,intermediate,M14277,"IN732702,IN732703,IN732704,IN732705,IN732706,IN732707,IN732282",2.74 meters,98 cm,26 cm
$285k,"$60,272",2 Ton 900 Kg,Sep 08 1999,"J,B",basic,M14278,,2.52 meters,99 cm,26 cm
,"$110,484",3 Ton 420 Kg,Aug 10 2007,H,super advanced,M14279,"IN732073,IN732580,IN732708,IN732709",2.46 meters,109 cm,28 cm
$53k,"$92,991",3 Ton 290 Kg,Apr 10 2002,H,super advanced,M14143,"IN732200,IN732710,IN732152,IN732711",2.9 meters,98 cm,26 cm
$40k,"$88,329",2 Ton 950 Kg,Dec 24 1999,"J,D",intermediate,,,2.22 meters,106 cm,28 cm
$97k,"$192,766",2 Ton 960 Kg,Feb 06 2009,D,advanced,M14280,"IN732636,IN732429,IN732521,IN732656,IN732712,IN732713,IN732393,IN732714",2.57 meters,99 cm,26 cm
$223k,"$73,506",2 Ton 900 Kg,Jun 12 2009,"S,U",advanced,M14281,"IN732313,IN732715,IN732716",2.65 meters,96 cm,25 cm
$411k,"$438,170",3 Ton 470 Kg,Apr 30 2004,"D,A",super advanced,M14128,"IN732357,IN732440",2.24 meters,115 cm,30 cm
$223k,"$97,469",3 Ton 170 Kg,Mar 21 2003,"D,A",advanced,M14159,"IN732457,IN732256,IN732134,IN732539,IN732363,IN732608,IN732157",2.76 meters,99 cm,26 cm
$66k,"$358,527",3 Ton 10 Kg,May 12 2017,D,super advanced,"M14138,M14139","IN732717,IN732718,IN732663,IN732517,IN732467,IN732719,IN732364,IN732720",2.99 meters,92 cm,24 cm
,"$6,034",2 Ton 790 Kg,Aug 15 1997,N,super advanced,,,2.52 meters,97 cm,25 cm
$113k,"$105,977",3 Ton 110 Kg,May 05 2006,"T,D",advanced,M14282,"IN732630,IN732656,IN732529",2.68 meters,99 cm,26 cm
$75k,"$191,403",2 Ton 930 Kg,Sep 08 2004,"F,D",super advanced,,"IN732721,IN732630,IN732701",2.3 meters,104 cm,27 cm
$84k,"$58,583",2 Ton 870 Kg,Sep 06 2017,D,super advanced,M14283,"IN732280,IN732721,IN732722,IN732630",2.67 meters,96 cm,25 cm
$66k,"$317,798",2 Ton 890 Kg,Apr 06 2012,D,super advanced,M14284,"IN732305,IN732723,IN732508",2.11 meters,108 cm,28 cm
,"$27,159",2 Ton 880 Kg,Dec 26 2014,D,super advanced,M14285,"IN732654,IN732718,IN732724,IN732366,IN732725",2.47 meters,99 cm,26 cm
,"$70,481",2 Ton 960 Kg,Jul 11 2014,"D,R",advanced,,"IN732726,IN732160,IN732611,IN732727,IN732423,IN732548,IN732569",2.75 meters,96 cm,25 cm
$163k,"$50,864",3 Ton 190 Kg,Jun 29 2001,"D,A",super advanced,M14286,IN732466,3.08 meters,94 cm,25 cm
$223k,"$47,668",2 Ton 910 Kg,Jul 04 2003,A,super advanced,,"IN732728,IN732729",2.7 meters,96 cm,25 cm
,"$106,036",2 Ton 900 Kg,Jun 11 2008,"T,D",advanced,,"IN732730,IN732731,IN732732,IN732566",2.39 meters,101 cm,27 cm
$238k,"$133,330",3 Ton 230 Kg,Jul 26 2002,"F,D",advanced,M14287,"IN732074,IN732630,IN732580,IN732561",2.44 meters,106 cm,28 cm
,"$19,089",3 Ton 110 Kg,May 28 2010,D,intermediate,M14288,"IN732733,IN732734,IN732584,IN732735",2.67 meters,99 cm,26 cm
$144k,"$50,779",3 Ton 0 Kg,Jun 19 2009,"F,A",super advanced,,IN732231,2.69 meters,97 cm,25 cm
,"$14,636",2 Ton 980 Kg,Feb 14 1997,"S,A",super advanced,,,2.15 meters,108 cm,28 cm
$40k,"$240,795",3 Ton 20 Kg,Jun 27 2003,D,advanced,M14289,"IN732126,IN732736,IN732295,IN732157,IN732737",2.29 meters,106 cm,28 cm
$97k,"$207,271",3 Ton 60 Kg,Nov 19 2004,D,advanced,M14290,"IN732126,IN732295,IN732157,IN732738",2.93 meters,94 cm,25 cm
,"$172,459",3 Ton 120 Kg,Jan 27 2017,D,advanced,M14291,"IN732126,IN732295,IN732396,IN732736,IN732534,IN732739",2.17 meters,110 cm,29 cm
,"$41,104",2 Ton 760 Kg,Jan 15 1999,J,basic,,,1.99 meters,108 cm,28 cm
$163k,"$230,917",2 Ton 830 Kg,May 18 2007,C,intermediate,M14292,"IN732166,IN732740,IN732115,IN732220",2.49 meters,98 cm,26 cm
,"$86,892",2 Ton 980 Kg,Jan 09 2004,U,super advanced,M14293,"IN732275,IN732094,IN732328",2.17 meters,108 cm,28 cm
,"$21,478",3 Ton 130 Kg,Jan 12 2007,U,super advanced,M14294,"IN732510,IN732741",2.65 meters,100 cm,26 cm
$474k,"$647,825",3 Ton 400 Kg,Mar 29 2006,"B,A",advanced,M14295,"IN732190,IN732681,IN732325,IN732505,IN732270,IN732742,IN732386,IN732141,IN732743,IN732744,IN732745",2.6 meters,105 cm,28 cm
$395k,"$339,890",3 Ton 250 Kg,Apr 03 1998,"B,A",advanced,M14159,"IN732641,IN732746,IN732747,IN732748,IN732749",3.24 meters,92 cm,24 cm
$788k,"$1,040,575",3 Ton 510 Kg,Jan 06 2017,"B,A",advanced,M14145,"IN732750,IN732751,IN732108,IN732752,IN732184,IN732620,IN732535,IN732119,IN732753,IN732307,IN732165",2.62 meters,107 cm,28 cm
$19k,"$34,623",2 Ton 910 Kg,Aug 04 2000,N,advanced,,,2.61 meters,97 cm,25 cm
$223k,"$265,206",3 Ton 160 Kg,Dec 23 2011,"S,A",advanced,M14296,"IN732754,IN732755,IN732616,IN732690,IN732756,IN732188,IN732757,IN732758",2.85 meters,97 cm,25 cm
,"$7,893",2 Ton 850 Kg,Feb 12 2010,C,intermediate,,"IN732196,IN732415,IN732417,IN732528,IN732114",2.71 meters,94 cm,25 cm
$66k,"$30,642",3 Ton 90 Kg,Jul 04 2014,H,advanced,M14297,"IN732759,IN732760,IN732761,IN732762",2.51 meters,102 cm,27 cm
$232k,"$70,174",3 Ton 170 Kg,Feb 23 2001,"S,B",advanced,,"IN732275,IN732642",2.42 meters,105 cm,28 cm
$659k,"$208,250",3 Ton 310 Kg,Mar 01 2013,A,advanced,M14298,"IN732488,IN732763,IN732764,IN732765,IN732325",2.7 meters,102 cm,27 cm
$169k,"$178,795",3 Ton 40 Kg,Dec 16 2005,"F,D",advanced,M14172,"IN732275,IN732748,IN732589,IN732295,IN732766,IN732617,IN732767",2.9 meters,94 cm,25 cm
,"$37,826",3 Ton 10 Kg,Dec 05 2008,D,advanced,M14299,"IN732393,IN732591,IN732115,IN732768,IN732102",2.32 meters,105 cm,27 cm
$59k,"$145,093",2 Ton 900 Kg,Jul 31 1998,D,advanced,,,2.33 meters,103 cm,27 cm
,"$58,576",2 Ton 780 Kg,Jan 30 2015,G,basic,,,2.78 meters,92 cm,24 cm
$56k,"$90,261",2 Ton 950 Kg,Dec 16 2011,K,advanced,M14300,"IN732769,IN732734,IN732770,IN732771,IN732329",2.9 meters,93 cm,24 cm
$47k,"$12,637",3 Ton 120 Kg,Jul 13 2001,"D,H",advanced,,,2.86 meters,96 cm,25 cm
$191k,"$63,829",3 Ton 320 Kg,Nov 28 2013,H,advanced,M14301,"IN732340,IN732772,IN732773,IN732620,IN732612,IN732774,IN732775,IN732384",2.69 meters,102 cm,27 cm
,"$36,012",3 Ton 100 Kg,Nov 22 1996,"D,H",super advanced,,"IN732634,IN732618,IN732748",2.53 meters,102 cm,27 cm
,"$116,919",3 Ton 50 Kg,Jan 11 2006,D,advanced,M14201,"IN732776,IN732738,IN732749,IN732126",2.35 meters,105 cm,27 cm
,"$152,312",2 Ton 840 Kg,Oct 26 2012,C,basic,,,3.06 meters,89 cm,23 cm
$40k,"$201,011",2 Ton 800 Kg,Oct 03 1997,C,advanced,M14302,"IN732777,IN732074",2.7 meters,94 cm,25 cm
,"$136,783",3 Ton 20 Kg,Nov 16 2007,"D,R",advanced,M14151,"IN732592,IN732385,IN732539,IN732778,IN732779,IN732780,IN732781",2.59 meters,99 cm,26 cm
$47k,"$105,282",3 Ton 60 Kg,Dec 02 2005,J,intermediate,,"IN732782,IN732055,IN732452,IN732783,IN732784",2.73 meters,98 cm,26 cm
,"$61,375",3 Ton 130 Kg,May 16 2008,R,intermediate,M14303,"IN732469,IN732652,IN732785,IN732786",2.37 meters,106 cm,28 cm
,"$62,505",2 Ton 880 Kg,Nov 08 1996,R,intermediate,M14304,"IN732167,IN732787,IN732531",2.2 meters,105 cm,28 cm
$154k,"$121,744",2 Ton 930 Kg,Aug 03 2001,"K,D",advanced,M14242,IN732788,3.27 meters,87 cm,23 cm
$254k,"$348,614",2 Ton 950 Kg,Oct 08 2009,"J,B",intermediate,M14188,"IN732217,IN732675,IN732789,IN732649,IN732790,IN732791,IN732166,IN732187,IN732792",2.74 meters,96 cm,25 cm
$474k,"$400,542",2 Ton 900 Kg,Aug 15 2008,C,intermediate,M14305,"IN732793,IN732619,IN732427,IN732062,IN732256,IN732280,IN732794,IN732795,IN732462,IN732796,IN732797",3.07 meters,89 cm,23 cm
,"$62,990",3 Ton 100 Kg,Jun 08 2007,D,super advanced,M14306,"IN732200,IN732636",2.5 meters,102 cm,27 cm
,"$12,905",2 Ton 920 Kg,Aug 14 2015,U,super advanced,M14307,"IN732269,IN732684,IN732716",2.55 meters,99 cm,26 cm
,"$28,211",3 Ton 80 Kg,Mar 07 2014,H,super advanced,M14282,"IN732660,IN732574",2.67 meters,99 cm,26 cm
,"$30,358",3 Ton 80 Kg,Dec 06 1996,H,advanced,M14308,"IN732257,IN732325,IN732390",2.9 meters,95 cm,25 cm
,"$53,520",3 Ton 40 Kg,Apr 10 2015,D,super advanced,M14309,"IN732666,IN732087,IN732197,IN732798,IN732102",2.55 meters,100 cm,26 cm
$128k,"$187,622",3 Ton 80 Kg,Sep 13 2002,"U,A",advanced,M14169,"IN732583,IN732411",2.77 meters,97 cm,25 cm
$44k,"$74,546",3 Ton 130 Kg,Aug 11 2000,"K,D",super advanced,M14200,"IN732093,IN732305,IN732798,IN732645,IN732484",2.6 meters,101 cm,26 cm
$18k,"$22,217",2 Ton 910 Kg,Oct 08 2014,G,intermediate,M14310,IN732799,2.48 meters,100 cm,26 cm
,"$5,515",3 Ton 190 Kg,Sep 15 2017,J,intermediate,,,2.72 meters,100 cm,26 cm
,"$33,001",2 Ton 950 Kg,Aug 20 1999,"F,H",super advanced,,,2.32 meters,104 cm,27 cm
$254k,"$74,511",3 Ton 720 Kg,Jul 30 1999,"Q,H",super advanced,M14311,"IN732115,IN732113",2.19 meters,120 cm,31 cm
$317k,"$85,689",3 Ton 230 Kg,Jun 02 2017,"I,M",advanced,M14195,"IN732800,IN732801,IN732176,IN732597,IN732505",2.91 meters,97 cm,25 cm
,"$104,957",3 Ton 120 Kg,Dec 24 2003,"T,D",advanced,,"IN732666,IN732458",2.49 meters,103 cm,27 cm
,"$14,711",2 Ton 970 Kg,Jun 03 2005,"J,B",intermediate,,,2.85 meters,94 cm,25 cm
$474k,"$261,210",3 Ton 130 Kg,Aug 29 2008,C,advanced,M14166,"IN732802,IN732143,IN732322,IN732457,IN732271,IN732645",2.66 meters,100 cm,26 cm
,"$299,644",2 Ton 850 Kg,Jul 17 2009,"J,D",intermediate,M14312,"IN732803,IN732780,IN732804,IN732805,IN732218,IN732731",3.02 meters,89 cm,23 cm
,"$101,617",2 Ton 890 Kg,Oct 31 1997,"D,A",advanced,M14313,"IN732499,IN732256",2.48 meters,99 cm,26 cm
$270k,"$201,622",2 Ton 900 Kg,Apr 07 2006,"D,R",advanced,M14314,"IN732684,IN732338,IN732806,IN732681,IN732807,IN732459",2.77 meters,94 cm,25 cm
$113k,"$16,636",3 Ton 270 Kg,Aug 06 2004,R,super advanced,M14315,"IN732322,IN732808",2.76 meters,100 cm,26 cm
$25k,"$48,644",3 Ton 160 Kg,Aug 28 2015,H,advanced,M14316,"IN732809,IN732810,IN732811,IN732115",2.39 meters,106 cm,28 cm
$317k,"$185,634",3 Ton 310 Kg,Sep 29 2000,S,intermediate,M14317,IN732254,2.84 meters,99 cm,26 cm
,"$9,135",2 Ton 900 Kg,Nov 08 1996,"J,D",intermediate,M14318,"IN732812,IN732677",2.52 meters,99 cm,26 cm
$110k,"$516,305",2 Ton 930 Kg,Apr 07 2000,D,advanced,M14313,"IN732217,IN732104,IN732219",2.98 meters,91 cm,24 cm
,"$48,215",3 Ton 60 Kg,Oct 08 2015,H,advanced,M14216,"IN732535,IN732813,IN732182,IN732814,IN732807,IN732815",2.47 meters,103 cm,27 cm
$50k,"$154,647",2 Ton 870 Kg,Nov 22 2002,"J,D",intermediate,M14319,"IN732444,IN732816,IN732082",2.55 meters,98 cm,26 cm
$223k,"$212,607",3 Ton 250 Kg,Sep 22 2004,"K,H",advanced,M14216,"IN732289,IN732304,IN732471,IN732494,IN732617,IN732817",2.72 meters,101 cm,26 cm
$521k,"$701,810",3 Ton 80 Kg,Aug 21 2015,C,intermediate,"M14320,M14321","IN732818,IN732193,IN732819,IN732820,IN732821,IN732822,IN732355",3.0 meters,93 cm,24 cm
$128k,"$66,044",3 Ton 230 Kg,Nov 16 2012,H,intermediate,M14322,"IN732089,IN732218,IN732663,IN732671,IN732823,IN732824,IN732825,IN732125",3.0 meters,95 cm,25 cm
$97k,"$372,042",2 Ton 980 Kg,Mar 16 2001,"D,A",advanced,M14312,"IN732357,IN732465,IN732082,IN732595,IN732295",2.63 meters,98 cm,26 cm
$128k,"$223,151",2 Ton 990 Kg,Nov 10 2006,"D,A",advanced,M14323,"IN732357,IN732465,IN732520,IN732826,IN732210",2.5 meters,101 cm,26 cm
$103k,"$121,833",3 Ton 70 Kg,Dec 02 2011,"D,A",advanced,M14323,"IN732357,IN732827,IN732828,IN732829,IN732830,IN732831",2.92 meters,94 cm,25 cm
$128k,"$25,549",2 Ton 850 Kg,Jan 17 2003,D,advanced,M14324,"IN732832,IN732833,IN732306,IN732834,IN732835,IN732836,IN732837,IN732794,IN732183,IN732208,IN732443,IN732495,IN732838",2.83 meters,92 cm,24 cm
$78k,"$72,075",3 Ton 110 Kg,Nov 14 2003,"F,A",advanced,,"IN732119,IN732611,IN732595",2.57 meters,101 cm,27 cm
,"$8,180",3 Ton 100 Kg,Aug 25 2017,V,super advanced,M14325,"IN732313,IN732839,IN732714,IN732434,IN732840",2.43 meters,104 cm,27 cm
,"$44,902",2 Ton 950 Kg,Oct 25 1996,D,advanced,M14326,"IN732841,IN732842,IN732843,IN732844,IN732591",2.62 meters,98 cm,26 cm
$59k,"$135,735",3 Ton 190 Kg,Jul 31 2015,"D,H",super advanced,M14279,"IN732845,IN732846,IN732847,IN732848,IN732849,IN732500,IN732850",2.81 meters,98 cm,26 cm
,"$18,874",3 Ton 0 Kg,Nov 15 2002,F,super advanced,M14327,IN732684,2.48 meters,101 cm,27 cm
,"$53,843",3 Ton 0 Kg,Oct 08 2007,N,super advanced,,"IN732345,IN732851,IN732106,IN732061",2.59 meters,99 cm,26 cm
,"$43,405",2 Ton 890 Kg,Feb 12 1999,A,advanced,,IN732852,2.2 meters,105 cm,28 cm
$292k,"$344,017",3 Ton 440 Kg,Oct 11 2002,V,super advanced,M14170,"IN732479,IN732180,IN732304,IN732834,IN732853,IN732633,IN732854,IN732855,IN732856,IN732060,IN732857,IN732858",3.11 meters,97 cm,25 cm
$160k,"$107,732",2 Ton 950 Kg,Sep 04 2002,"B,D",advanced,,"IN732357,IN732743",2.56 meters,99 cm,26 cm
,"$42,002",3 Ton 20 Kg,Feb 25 2000,A,super advanced,,IN732859,2.29 meters,106 cm,28 cm
$169k,"$199,306",3 Ton 220 Kg,Jul 01 2016,"F,H",super advanced,M14328,"IN732488,IN732130,IN732078,IN732860,IN732670,IN732861,IN732776,IN732555,IN732648",2.55 meters,104 cm,27 cm
$58k,"$24,767",2 Ton 920 Kg,Sep 10 2014,"P,P",intermediate,M14329,"IN732642,IN732446,IN732152,IN732862,IN732863,IN732864",3.09 meters,90 cm,23 cm
,"$104,562",2 Ton 860 Kg,Nov 15 1996,D,advanced,M14330,"IN732499,IN732235",2.22 meters,104 cm,27 cm
$50k,"$32,239",3 Ton 160 Kg,Dec 14 2007,H,super advanced,M14331,"IN732111,IN732094,IN732508",2.07 meters,114 cm,30 cm
